daodien,dienvien,loaiphim,nam_phathanh,name_en,name_vi,quocgia,theloai
John Azpilicueta,"Jacob Martinez, John Azpilicueta, Pablo Santiago, ",Phim Hành động,2014,ready 2 die,sẵn sàng chết 2,Phim Mỹ,Phim Hành động
McG,"Connie Nielsen, Hailee Steinfeld, Kevin Costner, ",Phim Hành động,2014,3 days to kill,3 ngày đổi mạng,Phim Mỹ,Phim Hành động
Mark Atkins,"Deena Trudy, Larissa Vereza, Marcus Shirock, Michael Jai White, ",Phim Hành động,2014,android cop,cảnh sát người máy,Phim Mỹ,Phim Hành động
Ali Abbas Zafar,"Arjun Kapoor, Priyanka Chopra, Ranveer Singh, ",Phim Hành động,2014,gunday,ngày chết,"
								",Phim Hành động
Tom Tykwer,"Franka Potente, Herbert Knaup, Moritz Bleibtreu, ",Phim Hành động,1998,run lola run,chạy đi lola,Phim Mỹ,Phim Hành động
Đỗ Kỳ Phong,"Hoi Pang Lo, Lâm Gia Đống, Lâm Hy Lôi, ",Phim Hành động,2008,sparrow,chú chim sẻ,Phim Hồng Kong,Phim Hành động
Chuck Russell,"Camron Diaz, Jim Carrey, Peter Reigert, ",Phim Hành động,1994,the mask,mặt nạ xanh,Phim Mỹ,Phim Hành động
Honghui Xu,"Melrose Hu, ",Phim Hành động,2014,ameera,nữ đặc cộng,Phim Mỹ,Phim Hành động
Joe Johnston,"Eloise Mumford, JJ Feild, Max Minghella, ",Phim Hành động,2014,not safe for work,công việc nguy hiểm,Phim Mỹ,Phim Hành động
George Clooney,"Cate Blanchett, George Clooney, Matt Damon, ",Phim Hành động,2014,the monuments men,cổ vật bị đánh cắp,Phim Mỹ,Phim Hành động
Brian Trenchard Smith,"John Cusack, Thomas Jane, Zoe Ventoura, ",Phim Hành động,2014,drive hard,siêu tốc,Phim Mỹ,Phim Hành động
Chris Carter,"Billy Connolly, David Duchovny, Gillian Anderson, ",Phim Hành động,2008,the x files: i want to believe,hồ sơ chết,Phim Mỹ,Phim Hành động
Quách Tử Kiện,"An Chí Kiệt, Dư Văn lạc, Hồ Quân, Tạ Đình Phong, ",Phim Hành động,2013,as the light goes out,biệt đội cứu hỏa,Phim Trung Quốc,Phim Hành động
Roel Reiné,"Bonnie Lee Bouman, Dylan Edy, Michael Everson, ",Phim Hành động,2014,seal team eight behind enemy lines,biệt đội 8 chiến dịch congo,Phim Mỹ,Phim Chiến Tranh
Noam Murro,"David Wenham, Eva Green, Lena Headey, Rodrigo Santoro, Sullivan Stapleton, ",Phim Hành động,2014,300 rise of an empire,300 đế chế trỗi dậy,Phim Mỹ,Phim Chiến Tranh
