daodien,dienvien,loaiphim,nam_phathanh,name_en,name_vi,quocgia,theloai
Frank Coraci,"Adam Sandler, Jorge Garcia, Terry Crews, ",Phim Hài,2015,the ridiculous 6,bộ 6 dở hơi,Phim Mỹ,Phim Hài
Nobara Takemoto,"Anna Tsuchiya, Hiroyuki Miyasako, Kyoko Fukada, ",Phim Hài,2004,kamikaze girls,nữ thần phong,Phim Nhật Bản,Phim Hài
Trúc An,"Châu Du Dân, Lâm Y Thần, Trần Bá Lâm, ",Phim Hài,2015,go lala go 2,nhật ký tìm chồng của đỗ la la,Phim Trung Quốc,Phim Hài
John Wells,"Bradley Cooper, Daniel Brühl, Sienna Miller, ",Phim Hài,2015,burnt,bùng cháy,Phim Mỹ,Phim Hài
Yuet Sang Chin,"Ching Po Chang, Hsi Chang, Lâm Chánh Anh, ",Phim Hài,1984,hocus pocus,ma lang thang,Phim Trung Quốc,Phim Hài
Sunspots,"Qu Yu tong, Zhang Shiyu, ",Phim Hài,2015,the domestic 008,điệp viên 008,Phim Trung Quốc,Phim Hài
Điền Vũ Sinh,"Quách Thái Khiết, Trịnh Khải, ",Phim Hài,2015,ex files 2: the backup strikes back,tiềm nhiệm công lược 2,Phim Trung Quốc,Phim Hài
Tiêu Dương,"Bàng Ngu Khư, Cao Thành Long, ",Phim Hài,2016,super eunuch,thái giám siêu năng lực,Phim Trung Quốc,Phim Hài
Rawson Marshall Thurber,"Aaron Paul, Amy Ryan, Dwayne Johnson, Kevin Hart, Megan Park, ",Phim Hài,2016,central intelligence,điệp viên không hoàn hảo,Phim Mỹ,Phim Hài
Đặng Siêu,"Đặng Siêu, Tôn Lệ, ",Phim Hài,2015,devil and angel,thiên sứ xấu xa,Phim Trung Quốc,Phim Hài
Trần Tứ Thành,"Lưu Hạo Nhiên, Vương Bảo Cường, ",Phim Hài,2015,detective chinatown,thám tử phố tàu,Phim Trung Quốc,Phim Hài
Raja Gosnell,"Alex D. Linz, Olek Krupa, Rya Kihlstedt, ",Phim Hài,1997,home alone 3,ở nhà một mình 3,Phim Mỹ,Phim Hài
Yang Xiao,"Jingjing Qu, Taili Wang, Yang Xiao, ",Phim Hài,2014,old boys: the way of the dragon,trai già: mãnh long quá giang,Phim Trung Quốc,Phim Hài
Han Dong Hwa,"Choi Soo Young, Go Kyu Pil, Heo Jae Ho, Lee Sun Bin, Ma Dong Suk, Seo In Gook, Song Ok Sook, ",Phim Hài,2016,38 task force,biệt đội số 38,Phim Hàn Quốc,Phim Hài
Clifton Ko,"Bonnie Law, Rachel Lee, Raymond Wong, ",Phim Hài,1984,the happy ghost,ma vui vẻ,Phim Trung Quốc,Phim Hài
Stanley Tong,"Dương Tử Quỳnh, Thành Long, Trương Mạn Ngọc, ",Phim Hài,1992,police story 3 super cop,câu chuyện cảnh sát 3,Phim Trung Quốc,Phim Hài
Tống Tán,"Dương Tử Thâm, Hiếu Long, Tào Mộng Cách, ",Phim Hài,2016,monkey king return part 1,ngộ không truyện: chí tôn bảo,Phim Trung Quốc,Phim Hài
Ringo Lam,"Bak Ming Wong, ",Phim Hài,1986,the happy ghost 3,ma vui vẻ 3,Phim Trung Quốc,Phim Hài
Hồng Kim Bảo,"Hồng Kim Bảo, Lưu Gia Lương, Nguyên Khuê, ",Phim Hài,1989,pedicab driver,quần long hí phụng,Phim Hồng Kong,Phim Hài
Elizabeth Banks,"Emma Stone, Richard Gere, Stephen Merchant, ",Phim Hài,2013,movie 43,43 ngày kỳ quặc,Phim Mỹ,Phim Hài
Dante Lam,"Charlene Choi, Ekin Cheng, Gillian Chung, ",Phim Hài,2003,twins effect,thiên cơ biến,Phim Hồng Kong,Phim Hài
Gordon Chan Car,"Châu Tinh Trì, Ngô Mẫn Đạt, Trương Mẫn, ",Phim Hài,1992,fight back to school 2,trường học uy long 2,Phim Hồng Kong,Phim Hài
Dave Green,"Laura Linney, Megan Fox, Stephen Amell, ",Phim Hài,2016,teenage mutant ninja turtles: out of the shadows,ninja rùa 2: đập tan bóng tối,Phim Mỹ,Phim Hài
