daodien,dienvien,loaiphim,nam_phathanh,name_en,name_vi,quocgia,theloai
Nia Di Nata,"Amanda Rawles,Asmara Abigail,Maizura",Phim Khoa Học - Viễn Tưởng,2021,a world without,thế giới không tình yêu,Khác,"Tâm Lý - Tình Cảm,Khoa Học - Viễn Tưởng,Bí Ẩn - Siêu Nhiên"
John Ridley,"Leslie Odom Jr.,Freida Pinto,Cynthia Erivo",Phim Khoa Học - Viễn Tưởng,2021,needle in a timestack,mất ký ức,Âu - Mỹ,"Tâm Lý - Tình Cảm,Khoa Học - Viễn Tưởng"
Denis Villeneuve,"Timothée Chalamet,Rebecca Ferguson,Zendaya",Phim Khoa Học - Viễn Tưởng,2021,dune,hành tinh cát,Âu - Mỹ,"Phiêu Lưu - Hành Động,Khoa Học - Viễn Tưởng,Phim Chiếu Rạp"
,"Bốc Quan Kim,Vương Tinh Việt,Nhiếp Tử Hạo,Lưu Nhất Đồng,Chiến Vũ,Trương Tuyết Hàm,Lý Cửu Lâm",Phim Cổ Trang - Thần Thoại,2021,your sensibility my destiny,công tử khuynh thành,Trung Quốc,Cổ Trang - Thần Thoại
,"Prang Kannarun Wongkajornklai,Ter Chantavit Dhanasevi,Diana Flipo,Pariit Thimthong,Mam Kathaleeya McIntosh,Kik Mayurin Pongpudpunth",Phim Khoa Học - Viễn Tưởng,2021,help me khun pee chuay duay,cứu tôi! ôi ma ơi,Thái Lan,"Tâm Lý - Tình Cảm,Khoa Học - Viễn Tưởng,Hài Hước"
,,Phim Cổ Trang - Thần Thoại,2021,xingchen bian: xichen yao hai,tinh thần biến (phần 3),Trung Quốc,"Cổ Trang - Thần Thoại,Hoạt Hình"
Hồ Quốc Hãn,"Vu Thần,Cát Thiên",Phim Cổ Trang - Thần Thoại,2021,work in vain song ci,pháp y tống từ 2: tứ tông tội,Trung Quốc,Cổ Trang - Thần Thoại
,"Bành Tiểu Nhiễm,Kim Hạn,Đỗ Á Phi,Vương Hựu Thạc,Trần Phương Đồng,Châu Chiêm",Phim Cổ Trang - Thần Thoại,2021,jun jiu ling,quân cửu linh,Trung Quốc,"Cổ Trang - Thần Thoại,Thuyết Minh"
Khưu Ngọc,"Triệu Anh Bác,Đại Vân Phàm,Ngô Thiên Doanh,Đới Nhã Kỳ",Phim Cổ Trang - Thần Thoại,2021,my dear brothers,huynh thân yêu của ta,Trung Quốc,"Cổ Trang - Thần Thoại,Hài Hước"
Yoo Jong Sun,"Ok Taec Yeon,Kim Hye Yoon,Lee Jae Kyoon,Bae Jong Ok,Jeong Bo Seok,Min Jin Woong",Phim Cổ Trang - Thần Thoại,2021,royal secret inspector joy,ngự sử tài ba và quý cô thông thái,Hàn Quốc,"Cổ Trang - Thần Thoại,Tâm Lý - Tình Cảm,Hài Hước"
Jung Ji In,"Lee Jun Ho,Lee Se Young,Kang Hoon,Lee Deok Hwa,Jang Hee Jin,Kang Mal Geum",Phim Cổ Trang - Thần Thoại,2021,the red sleeve,cổ tay áo màu đỏ,Hàn Quốc,Cổ Trang - Thần Thoại
,"Triệu Lộ Tư,Từ Khai Sính,Nhậm Hào,Trương Nguyệt,Ngao Thụy Bằng,Đỗ Dục",Phim Cổ Trang - Thần Thoại,2021,a female student arrives at the imperial college,quốc tử giám có một nữ đệ tử,Trung Quốc,"Cổ Trang - Thần Thoại,Hài Hước"
